,id,anonymous,hostProgramName,graduatingYear,isAlumni,jobTitle,program,overallScore,overall,curriculum,jobSupport,review_body,school,school_id
0,231519,0,,2016.0,1,,Software Engineer Track: In-Person,5.0,5.0,5.0,5.0,"It was well prepared, I wouldn't have learned all these materials within 9-12 weeks of this curriculum. The amount of the materials were heavy, but more you put in more you get out of it.",app-academy,10525
1,231525,0,,2016.0,1,,Software Engineer Track: In-Person,5.0,5.0,5.0,5.0,"I just finished the curriculum at App Academy and have learned more in the last two months than the last year of self studying. The program is high-intensity, they really mean it when they say 80 hours / week, but along with the program you get a fantastic... Read More support system that really cares about you instead of what paycheck you'd be bringing them. I really feel prepared to go out into the workforce and have something concrete to show for my efforts. You really can't go wrong with App Academy if you put in the effort and are serious about your work. Can't recommend it enough if you are considering a transition.Read Less",app-academy,10525
2,231552,0,,2015.0,1,Software Engineer,Software Engineer Track: In-Person,5.0,5.0,5.0,5.0,"My cohort finished about a year ago, and everyone I've spoken with is super happy with the jobs they got afterward. I would recommend this bootcamp to anyone who is a self-starter. I was self-taught for over a year before the course started and that helped... Read More me out a lot. Even though we covered nearly everything I'd taught myself in the first 3 weeks, I came in with the confidence that this was something I would want to do as a career. At a/A there are no grades, nobody holding your hand or giving you constant praise. The staff is supportive of course, but they are there to teach you the skills and traits to become great at this trade, and that includes self-sufficiency.Read Less",app-academy,10525
3,231555,1,,2018.0,1,,,5.0,5.0,5.0,,"App academy is no joke. You will spend every single day, night and day for the next 9 weeks reading new material, watching videos, doing homework and debugging, all the while drinking endless cups of coffee. You are required to check in 3 times a day... Read More (9AM, 1:30PM, and 4:00PM) or you will get a strike. 10 strikes and you're out. Overall, you will learn Ruby, SQL, Rails, JavaScript, React, and Redux. You won't get much practice on HTML/CSS, until you get to your full stacks in week 8, where you put everything together to clone a website. For the first 7 weeks, the daily routine is basically HTML/CSS in the morning, lecture until about lunch time, then pair programming the rest of the day. The last 30 minutes are spent with your ""circle"" discussing your day. The evenings are spent on reading and watching videos on tomorrow's material and usually accompanied with basic exercises. The readings and videos will take a decent chunk of your time, so I suggest doing them ahead of time if you can. There are 6 assessments throughout the course. They tell you almost exactly what is going to be on the assessment, they give you a practice assessment, they give you a test generator to time yourself, they give you a video of a TA going through the practice assessment. Basically you shouldn't feel lost when studying up for the assessment. All the resources are there for you. When full stacks arrive on week 8, things change. No more lectures, no more circle time, and no more readings and videos. You work on your full stack all day, helping each other out when you hit bugs, giving tips to others who are doing the same or similar websites.Some constructive criticism. The lectures, especially toward the end of the curriculum, were particularly long, and most of it was very similar to our homework that we already completed the previous night. I honestly only found those lectures useful for asking questions, but I did not feel the need to spend 2-3 more hours on the same topic we already spent hours learning for homework. The instructions for the daily projects are outstanding, providing step-by-step instructions on what you need to do next and why, that is up until around the end of week 6. Often times there will be a bulleted-list of directions telling you to implement so-and-so, when before these bulleted-list of directions would each have their own paragraph, supplemented with code snippets and explanations. In the React projects especially, they would tell you to implement something, and a few lines later, they'd provide the exact code you should write. I don't think that is helpful to our understanding. Some TAs are older and more experienced, others are recent graduates of App Academy themselves. Some are clearly better at explaining, while some kind of just look at the solutions and tell you to write what the solutions did. I'm thankful they are all trying and willing to help, but I'd always hope for certain TAs over others when hitting that ""Ask a question"" button.All in all, it was a very rewarding experience. I've met and made many new friends. Knowing that everyone else in your cohort is going through the exact same thing is reassuring, that everyone else is sleep-deprived and feeling exhausted all the time, that if you ran into a bug that someone else will most likely have also ran into the same bug, that you have others who also committed the next 9 weeks to change their life. I've learned more at App Academy and produced more projects that I am proud of than I did in 4 years in college as a Computer Science major. If you are thinking about attending App Academy, I'd definitely recommend it. Be prepared to make some great friends, and also be prepared for some feels when your new friends drop out. There's always a few that can't handle the load.Read Less",app-academy,10525
4,231567,0,UX/UI Design,2017.0,1,UX Designer,UX Design,5.0,5.0,5.0,5.0,"Springboard's course on User Experience (UX) Design profoundly changed my career path. Only three years ago, I was a philosophy major at Vassar College. While I was a tech-enthusiast, I always believed that my non-coding background limited my ability... Read More to enter this field once I graduated. However, by sheer luck, I stumbled upon Springboard's online UX course and signed up. At the time, I hardly had any little knowledge of what UX was at all. Now, as a UX Designer at IBM, I cannot stress how pivotal this course in enabling me to jumpstart my career.Springboard uses an intuitive website to guide students through the various stages of designing a mobile application or website (which may conveniently enough be used as a portfolio piece). Utilizing a mixture of articles, interactive courses, and videos, I was able to gain a firm understanding of the different design research methodologies popular in the field. This was important on two fronts. Firstly, these techniques helped me design better applications, since tools like card sorts, interviews, and wireframings genuinely help you design better experiences and can be applied virtually anywhere. Secondly, the techniques I learnt served as buzzwords to those I interviewed with for UX Design roles that demonstrated my knowledge in the field.On top of this, there were two aspects that made this course truly successful. The first was the weekly Skype calls with a design mentor. At the start of the course, I was assigned a mentor who was a professional in the field. Once a week I could consult her with any questions about the coursework, or any career-related questions I had. Cultivating this relationship humanized the course for me, and transformed it from a collection of videos and literature to a full-fledged course. The second aspects that stood out to me was the price. At 400 dollars a month, you really can't complain given the material you're given. I was able to go on to develop 4 portfolio pieces with other clients after the course to build my name- other popular alternatives such as General Assembly will run you thousands of dollars more.Overall, would definitely recommend this course!Read Less",springboard,11035
5,231583,0,,2016.0,1,Web Developer,Software Engineer Track: In-Person,5.0,5.0,5.0,5.0,"As a recent App Academy graduate, I'm very happy with my decision to enroll. The course is definitely intense, however, it is as difficult as it needs to be to ensure that you graduate the program with the skills and knowledge necessary to get a job in... Read More the tech industry. All of the instructors are great at what they do, and the curriculum is really well thought out. Each week's material builds on itself to incrementally to teach you everything you need to know. I would recommend App Academy to anyone who is looking to transition into the tech industry, and is ready to put in the work to do so.Read Less",app-academy,10525
6,231613,0,,2016.0,1,Software Engineer ,Software Engineer Track: In-Person,5.0,5.0,5.0,5.0,"I admit I was skeptical of all App Academy's promises going in, but they delivered on everything. I was offered a software engineer job on the last official day of the course. I've been at the job 3 months now and am very happy with my role and feel like... Read More the course prepared me well.The course is very intensive, but really not as grueling as it is hyped up to be. The real hard part is getting in, so make sure you are well prepared before applying. I also highly recommend their Jump Start program if it is offered to you.Their job search support is just simple high school resume and interview advice. Not very useful for most, but if you've never applied for a job before it's better than nothing, I suppose. The true resource is your classmates; a pool of 70 or so brilliant and highly motivated people to practice interview problems with. So nod your head and jump through the silly hoops the job search staff give you, and then put your head down and grind interview problems with your classmates.Read Less",app-academy,10525
7,231645,0,UX/UI Design,2016.0,1,Foreign Service Officer,UX Design,5.0,5.0,5.0,5.0,"The great thing about Springboard is the abundance of support, weekly calls from the mentor and a clear walk through of the cutting edge course material.",springboard,11035
8,231653,0,Web Development,2013.0,1,Software Engineer,Software Engineer Track: In-Person,5.0,5.0,5.0,,"I came to App Academy with several years of past programming experience, but I had not written any code in 5+ years and had never done any web development. For me, the first few weeks of the course where a great and surprisingly in-depth review of programming... Read More fundamentals. The rest of the course was made up of a backend and a frontend module. I found both modules surprisingly thorough and deep as well. I was well prepared for my first job as a developer and felt like the course gave me the tools I needed to hit the ground running. I've been working as a programmer for about 4 years now and am very happy with my career change.Read Less",app-academy,10525
9,231672,0,,2013.0,1,,,5.0,5.0,,,"I'm very happy I decided to attend AA. It's not perfect, but it does have lots going for it in comparison to other dev bootcamps.I think programming camps share many similar attributes - for instance, almost all of them learn in pairs, teach Rails, have... Read More very experienced programmers teaching, etc. I'll focus comments on what I differs from the norm in AA. Most of these differences are observed second-hand, through interviewing candidates from other bootcamps for the place I work now.ProsAA spends time developing algorithmic thinking. We started off barely knowing enough Ruby to run nested for loops to solve 'Fizz Buzz'. In the next 5 days we implemented a lot of things like binary search and quick sort. At the end of the first week, we built Tic Tac Toe allowing human players to play through the terminal against an unbeatable AI in 8 hours (that was nuts!). A few weeks later we took 5 days to learn all the same things in Javascript. Many of the junior programmers I've interviewed from other camps knew a lot of ways to do things with Rails, but didn't know how to script well enough in plain old Ruby/JS.AA taught object-oriented and social programming. Our code was constantly evaluated for object-oriented thinking, clarity in choice of variable and function names, and accessibility to other programmers. Really handy now when I'm working with 6 other engineers!AA taught away the magic. AA's instructors taught this super well - nothing is magical. In the course we did things like rebuild Active Record through meta programming, recreate the basics of Backbone.js using plain Javascript, implement our own sessions/login before using Devise/Sorcery, read server logs to detect and get rid of N+1 queries, and other things that dig deeper into frameworks that many take for granted.They know what companies are looking for. I was fortunate enough to get 5 offers in 4 weeks of searching after AA. They really prepared me for the job search.ConsAA's curriculum covers less overall material. I think the course was a little too light on coverage of CSS. We also didn't cover some classic Rails patterns, like making forms work through AJAX with Rails' forms using remote: true ( we did cover how to AJAXify through plain old JS, obviously). Finally, I wish we had spent more time learning to code through TDD. It's a tradeoff for focusing more deeply.AA is extremely fast-paced. You have to work hard to keep up. Definitely reminded me of 'drinking from the firehose' in my MIT days. Your brain will hurt a lot. You will stress over keeping up and doing the homework after coding for 10 hours straight. But, in the end, it's all worth it.Don't hesitate in contacting them. Kush and Ned are super nice :)Read Less",app-academy,10525
