,school,program,overallScore,review_body
0,springboard,Data Science Career Track,4.7,"Overall, it was an interesting and fruitful alternative to going back to grad school to get another degree (I already have an engineering masters). A lot of the program is about your willingness to put time into learning the concepts. The mentoring component... Read More and capstone projects are the differentiators of this program. I thoroughly enjoyed the experience!Note: Make sure you get along with your mentor!Read Less"
1,springboard,Data Science Career Track,5.0,"I had a phenomenal experience with Springboard. As a remote learner, I was initially skeptical of the value an online course, but I am glad to be proven wrong.The structure of the course is very intentional to bring people up to speed quickly. The real... Read More value in the class is in the support team and mentors. Having the opportunity to have dedicated conversations with my mentor about data science concepts, my coursework, and some tangential learning set my experience apart from some of the other online courses I have taken. The effort of the support and career services staff were equally essential to help bring the course together. Having a dedicated professional sit and discuss job search strategies, review resumes, and conduct mock interviews provided additional confidence to communicate my data science knowledge and find that next role using my new skills.Read Less"
2,springboard,Data Science Career Track,4.7,Pro’s: Covers the entire data sciencs processCons: Takes a lot of time and probably best to do if you only have a parttime job to get the most out of it
3,springboard,Data Science Career Track,5.0,"I've been in the career track program for around two months. I enjoy the curriculum a lot. It's very well structured. I can learn new skills and apply them to my capstone project immediately. I believe this is very important and helpful in boosting skills... Read More as well as producing a portfolio for a future job hunt. I have to say that mentorship plays an important role in keeping me on track and motivated. Though I am not in the process of job hunt yet but I had several calls with career coaches. My coach gave suggestions on how to network, how to prepare profile and resume. All the staff was very valuable to me. So I believe that I will finally land my dream job.Read Less"
4,springboard,Data Science Career Track,5.0,"I found the Data Science Career Track program very useful for anyone who decides to start a Data Science career regardless of the background. The amount of material necessary to master is quite large but everything in the topics offered is important.... Read More The structure of the program itself is well organized and allows to build up solid skills. I really liked interaction with my mentor who gave me a lot of useful advice that broadened my views on all aspects of Data Science. Communications with career coaches were extremely helpful and informative as well. To summarize, my experience with Springboard's Data Science Career Track was overwhelmingly positive.Read Less"
5,springboard,Data Science Career Track,5.0,"Springboard's Data Science Career Track was great! I would highly recommend. I received a lot of support from my mentor, advisor and career services, and I felt like they ALL cared and really wanted me to succeed. I had a fulltime job, was volunteering... Read More on a Data Analysis project and have two kids, so I was busy. Springboard understood and worked with me to make sure I was still able to finish and feel good about my work. I appreciated the skype calls with my mentor and career services, and the community board helped a lot as well. I thought it was a great program!Read Less"
6,brainstation,Data Analytics,5.0,"- Great structure to the UX course. Builds up on concepts very well and gives you the tools you need to complete your course project, which you work on from day 1 applying the concepts taught in class- Content covered everything I needed to meaningfully... Read More use UX in my work- Can't say enough positive things about the educator Sarah, always made class awesome.- Data Analytics provides a great into on statistics, and builds on that understanding to help me analyze and visualize data. Exactly what I needed for my job.- The space is beautiful. Besides looking good, and the free coffee, the people that are there are always willing to chat and share ideas and help.Read Less"
7,brainstation,Data Analytics,5.0,I took both the Product Management and Data Analytics course at BrainStation Vancouver.Both courses were overall great. The instructors were from applicable industry groups and were often dealing with the day to day activities that would come up in the... Read More course material.The layout for both structures are organized and easy to follow. It is easy to catch up of you miss a class or two.The instructors were always available to chat and give insight into their roles and/or industry.The material was thorough and was at a easy to learn pace. I learned a great deal of alternative techniques especially with regards to database management.Very impressed with the work space. Definitely would recommend to anyone that wants some exposure to new skills.Read Less
8,brainstation,Data Analytics,5.0,"My experience at Brainstation was nothing short of fantastic. The staff are extremely professional, insightful and attentive. The teachings were effective and the in class exercises helped me hone my knowledge and get solid feedback. This course has helped... Read More my ability to excel at work and in other areas of my professional life. The facilities were superb and created an ideal environment for both learning and networking. I would definitely consider taking another Brainstation course to continue my professional development. Thank you so much for the great experience.Read Less"
9,springboard,Data Science Career Track,5.0,"Sprinboard's DataScience Career Track is designed to propell you into the fray with the skills to stand out among other data science professionals and a portfolio to prove it. The extremely personalized yet professional and hands on course equipped me... Read More to be able to break into the data science industry not only becuase of the course but the paramount insights I was able to gain from my mentor. I'm way ahead of my peers in school. It's worth every penny. Would recommend it to anyone regardless of their background , education or current skills.Read Less"
10,udacity,Data Science,5.0,"Udacity is a leading platform for education, mostly specialized in computer programming, web and mobile development, data science, machine learning, AI, Robotics, Self Driving car and more. I've taken online courses with Coursera, edX and others, but... Read More Udacity is very well organized and more practical to learn.Read Less"
11,springboard,Data Science Career Track,4.0,"ProsThe career track was a good learning experience. You get good support from teaching assistants, mentors and career coaches. It is approachable enough and you get to do plenty of exercises.This boot camp gives a good foundation to build a data science... Read More career on.ConsThere are few video lectures included in curriculum which can be difficult to follow, specially for a novice learner.Read Less"
12,springboard,Data Science Career Track,5.0,"What I like most about the program is that it has very systematic structure of every aspect of data science, excellent mentors (personally I've learnt a lot from my mentor and he encourages me to explore more outside the curriculum, which I did and I... Read More found really useful), very practical exercises for you to apply what you've learnt in theory, and very helpful and encouraging career mentors. IT WAS INTENSE, as a full-time 2nd-year Ph.D. student wanting to transitioning to this field, I've got lots of other school work to do, but luckily I have the flexibility to explore this course outside school, and I found it fascinating.I don't particularly like the course orders of some extra learning materials and career materials in the end, but then again, you always have the discretion to complete the course in the way you like :3 I really enjoy it.Read Less"
13,springboard,Data Science Career Track,5.0,"The price is affordable compared to other data science bootcamp. The team is very supportive and you will be able to finish your own projects with the support from the team.The program not only take care skill sets, but also equip you with tips for interviews... Read More and negotiations. They also provide career coach service where you can revise your resume and do mock interviews. In summary, they prepare you with most of the thing that enable to to work in a data science field.Read Less"
14,springboard,Data Science Career Track,4.7,"My overall experience with the DS career track was very positive and provided me with a very useful skillset. The curriculum is very good, though it would not hurt to include a bit more of tools such as TensorFlorw. By far the most useful portion to me... Read More was the support and insight provided by the mentor program. This is one of the main reasons I chose SB over others programs and I was not disappointed. The career coaching was also very helpful and consistent feedback was provided throughout the course. My only comment here would be for more help on the industry connections/ referrals front. However, this is only a minor critique and the continued job search support will likely help on this front.Read Less"
15,springboard,Data Science Career Track,5.0,"This course is a nice fit between 'learn on your own' and 'get a Masters' for people looking to work as data scientists. I tried learning Python on my own but it was only getting me so far, and I didn't want to do a full Masters because of time and money.... Read More This specific course gives an excellent Primer to all of the major data science subdomains. Python, Statistics, NLP, Classification, Time Series, Network Analysis, Spark, and more. Data Science is a Deep Field, this course gives you the skills needed to navigate that Random Forest, including a wise guide in the form of a mentor. The mentor to me was the most invaluable part of this, I could solve a problem in a 5min conversion what might have taken 3hours, if ever, by Googling. By the end, I was able to 'Read the Docs' and apply methods that were not even covered in the official curriculum (Survival Analysis, PyTorch, PyHive), something I was NOT able to do prior to this course. It is, as the name suggests, a springboard, which worked well in my case.Read Less"
16,springboard,Data Science Career Track,5.0,"I was a student of Springboard's Data Science Career Track between July and November 2017. Completing the track has been one of the most fulfilling experiences of my life. The track was extremely streamlined and sufficiently challenging to keep you involved... Read More for the entire duration.The biggest take away of the program was the mentorship. My mentor, Baran, taught me skills that you will never find in a book or a publicly offered MOOC. He also gave me invaluable glimpses into the world of professional data science. With his constant guidance, I was able to participate in Data Science Hackathons, publish and gather traction for my kernels on Kaggle and develop a proposal for a talk on Inferential Statistics which was accepted in SciPy India 2017.Another huge benefit of the program is the network you get to build. Springboard mentors and alumni work at amazing places. I connected and interacted with more than a dozen people doing inspiring work. My mentor personally introduced me to Data Scientists at Airbnb (my first capstone project was on Airbnb User Bookings) and Amazon. They, in turn, gave me a sneak peak of their work at their respective companies.As part of DSC, I completed over 15 technical projects and 2 major Capstone Projects. With the help of my mentor, I was able to channel my work in the right places. My analysis on TED Talks caught the eye of the Kaggle CEO who then submitted my notebook to the official TED Team. My second capstone project on Movie Recommender Systems had me publishing a dataset that was trending at the top for 3 straight days. The material I learnt from Springboard also helped me in performing reasonably well in Data Science Competitions. My bachelors' thesis project on Fake News Detection is also based on the knowledge I acquired from the program. Finally, DSC prepares you for the non technical aspects of getting a job. There are intensive, personal evaluations of your LinkedIn Profile, your resume and mock interviews. These exercises prepare you well for evaluating, applying and eventually interviewing for various data science jobs.All in all, DSC is a great investment if you want to switch careers or get started with the field of Data Science. It prepares you for entry level Data Science jobs and equips you with enough expertise to jump into more advanced material after the program. Highly recommended!Read Less"
17,brainstation,Data Science,4.7,"I just finished the Data Science course at the Vancouver campus. I really enjoyed the foundation of Python this course provided me. Each week we focused on a different topic of Python coding, and with 3 hours per class, we were really able to develop... Read More our skills for the specific topics. I feel as though I can use my newfound knowledge in my current and any future work that I do.Read Less"
18,springboard,Data Science Career Track,5.0,"I took Data Science Career Track course after I did many mini-courses and read many books. The main issue with data science is that there is no clear start and end points. After a while of taking diffirent courses, you feel that you do not know what is... Read More data science career. In Spring board, besides learning more, I also could connect the dots and the field became clear to me.After finishing Career Track Data Science course, you can continue your journey by yourself.Thank youOmarRead Less"
19,springboard,Data Science Career Track,5.0,"I took Springboard's Career Track Data Science course, which was exactly what I needed to transition my career. I'm pretty self-motivated, which you'll need as the course is self-paced (you can also choose to pay per month which is an extra motivation... Read More to complete the course as fast as you can!), but wanted some sort of defined path to teach myself data science. There are a ton of online resources for free but it's pretty much impossible to know where to start without guidance.The course does a great job of starting you from basics but they move you on pretty quick from there in case you already have a foundation in CS or statistics. They match you with a mentor who can give feedback on your projects or answer any questions you might have about the material or the industry. The job guarantee is a big reason why I chose this course. It was pretty much a win-win. I started looking for a job about a month from finishing the course and got a job offer in about two months. I absolutely LOVE my new job and what I'm doing now.Read Less"
20,springboard,Data Science Career Track,5.0,"This program helped me nearly double my salary, and got me into the job that I wanted."
21,springboard,Data Science Career Track,5.0,I wanted to change my career from DBA to Data Science and hence I enrolled in this bootcamp. I joined it because of it was cheap compared to other online bootcamps and the job guarantee associated with this course. The best part is you get all kind of... Read More support you need it. There are dedicated team of professionals who work towards achieving your goal.Read Less
22,springboard,Data Science Career Track,5.0,"Springboard’s data science career track program is one of their most popular programs, and there is a reason why! You can tell they truly have put in the time and effort to create a program where their students will gain the knowledge and skills needed... Read More to apply to their jobs. Aside from the amazing curriculum, the career services team is phenomenal. You come out of this program not only learning the necessary technical skills, but networking skills as well, which are equally important.Read Less"
23,brainstation,Data Science,3.7,"I enrolled in BrainStation Data Science part time course to learn Python. It was a great experience. Instructor Colin and Ahmed were very resourceful and helpful. Course material covers a broad area of Python. I found the first three classes are a bit... Read More challenging since I had no expericence in Programming, and most of my classmates had some computer science background. After some crushing learning time by my own, I was more comfortable in the next couple of classes. The pratices are beyond the course mateirals, which will encourage the students to learn by themselves during their spare time. It could be hard in the beginning, but if you are motivated, and keep learning, it should be ok in the end. I'm a bit older than most of my classmates, who were in their early 20s, which on positive side gave me a lot of energy.I would suggest this course to someone who has some degree of programming knowledge.Read Less"
24,springboard,Data Science Career Track,5.0,"The pro's are the mentors and career coaches are very helpful. The curriculum is self paced so being a self starter and having extra time to put in to the course weekly is a must. Overall, I would highly recommend this course to aspiring Data Scientist.... Read MoreRead Less"
25,springboard,Data Science Career Track,5.0,"I recently graduated from Springboard's Data Science Career Track program. I can confidently say that this program has built carefully designed to give a very comprehensive introduction to data science skills and techniques, as well as the professional... Read More skills needed for anyone thinking of transitioning into a new career. Using concepts learned throughout coursework coupled with great support from my mentors and counselors, I was able to learn about many aspects of data science -- from data acquisition all the way through deployment of a functioning web app for users to experience functionality drawn from the insights of my data science analysis.Overall, it was a deeply exciting and fulfilling experience throughout. Although I started out the course because of the job guarantee, I found by the end of the course that the job guarantee was actually not necessary at all. The skills and knowledge I've gained (both technical and professional) have become my own job guarantee that will aid me well beyond this course!Read Less"
26,springboard,Data Science Career Track,5.0,Data Science Career Track is a good course to get Data Science knowledge. Especially for the students who want to transfer to this area. I worked with my Mentor and finished two capstone project during this course. I think this is the best and fastest... Read More way for me to become a data scientist.Read Less
27,springboard,Data Science Career Track,4.0,"I enrolled in Springboard's Online Data Science Career Program in August 2017 and completed the course in March 2018. I started the course with no programming skills. While this was difficult for me at the start, I became comfortable with python in the... Read More first two months. My favorite part about Springboard is the connection with my mentor. My mentor helped me tremendously with my capstone projects and gave me great advice in the workplace. The one thing that I had hoped for from Springboard is referrals. It is very difficult to build connections in a short period of time and then ask for referrals when applying for jobs. Hearing back from companies after applying and reaching out via Linkedin has been a struggle for me. It would be nice to receive a little more help in the job search. I am still looking for a job. In the end, the skills that you learn are invaluable. I definitely recommend Springboard to someone who is looking to get into Data Science or just wants to learn a new skill.Read Less"
28,springboard,Data Science Career Track,5.0,"I had a great experience at Springboard. This school has more than teach me, it has introduced me to the world of data science. This because now I´ve learnt the tools, the skills, the language, where to go for help, where to go for network and whose steps... Read More to follow. This was achieved based on 3 pillars provided: excellent curated curriculum, close mentor support and great career advisement. I couldn't find a course in my country that could do so much in such short period of time and I´m happy with the transformation. Remember to make sure you have the discipline and hard work to engage in this journey.Read Less"
29,springboard,Data Science Career Track,4.0,"This course has been an amazing experience for me. Most of the tutorial is from data camp, but there are other things such as exercises, mini-projects, and capstone projects to prepare you for the real world problems. The mentors add more value and provide... Read More some really good insights. Also, this course can be done at your own pace. I managed to complete it in two months by spending almost 8 hours a day.Read Less"
