,id,anonymous,hostProgramName,graduatingYear,isAlumni,jobTitle,program,overallScore,overall,curriculum,jobSupport,review_body,school,school_id
0,231910,0,,2014,1,,Full-time Web Development Bootcamp ,2.7,3.0,3.0,2.0,"Pros:Barcelona: The location is beautiful and affordable. I enjoyed living there immensely, was able to meet a lot of locals, and lots of great people in general. It's also relatively inexpensive and very walkable.Staff: People are really friendly, and... Read More I want them to succeedInstructors: About half of our instructors were great to fantastic and we learned a ton during their weeks.Class size: We had just 10 people in my cohort and we really felt like a family by the end.Atmosphere: It's very laid back, and a comfortable and safe feeling space.Network: They have a good Barcelona network, which is great if you want to live there and have an EU visa.Job assistance for EU citizens: They have a strong network in Barcelona and can get you interviews. Instructors and speakers will also be looking out for you and helping make connections. However, once my colleagues who are EU-citizens left Barcelona they found that assistance dropped off like a cliff and there was minimal communication. I learned a ton.Cons:Staff: Despite their friendliness, communication was a huge issue. Even before class started, I missed most of the Hangouts because I didn't realize the times were being posted to Slack. Emails were not returned in a timely manner before, during, and after my session. People were defensive when offered feedback. I was often told ""So and so will contact you about your concern."" and then silence.Instructors: Two of our instructors were awful and it felt like they just wasted a week of our time which is a big deal when you are only studying for 6 weeks. We basically had to relearn everything we learned from our first JS teacher. They made up for the bad CSS class by bringing in a great instructor later on, but it meant we lost a day of working on our final project. Curriculum: It was frequently commented by my colleagues that it felt like we were being experimented on too much and I agree with them. We alternated between JS and Ruby instruction and the context switching was very confusing. They started us off the bat with Ruby and OO which was completely overwhelming for most people our first week. Visa sponsorship for non-EU: You will probably not be able to find someone to sponsor you for a visa. I wanted to stay and it seemed like it should be doable (I was one of the strongest students in the cohort), but even though there was some interest ultimately what I heard was it's way too hard to sponsor and very few companies are willing to do it. You are limited to large foreign companies and even then it can take 3 months.Job Assistance: Good or bad depending on your needs. I'm going to move this out of the bullet, so read on below.We lost internet for a few days and last a ton of class time as a result. They didn't have a contingency plan so we had already lost almost two days before they found us a temp new space. Internet was pretty consistently bad the whole time we were there.Job Assistance:They were great while I was still in Barcelona, but as soon as I returned back to the states they went silent. I had previously decided with the cofounder that we would work on Barcelona until I left and then switch to SF. After two weeks of silence (I pinged a couple people during that time), I sent another email and this time they apologized and said it was a new guy's responsibility.I scheduled a Skype call with the new guy and I thought maybe things would improve. Well, he sent me a list of sites with job postings. And then the next week he sent me another email with one more site with a job posting. In the meantime I was adding the jobs I applied to on to a spreadsheet so they could see my progress.I did know that they would have less of a network in the states, but the cofounders are well connected. So I knew that it would take more effort on my part. However, job placement is absolutely crucial for any startup bootcamp, and Ironhack is expanding in to Miami. To succeed in the more competitive bootcamp market in the US, you need to cultivate relationships with companies that are specifically interested and willing to hire bootcamp students.My expectation was that they would reach out to companies and pitch Ironhack and their students– in other words be proactive. What actually happened was they checked my spreadsheet and if they knew someone there they put me in contact. Which is helpful and I don't want to discount that, except 2/3 of those contacts were for companies were I had already gotten myself an employee referral and since their contact wasn't in a position to hire me they couldn't really provide me any assistance. In my opinion this just isn't aggressive enough because if they can't hit a high placement % then they are doing good enough.Ironhack's response is that they are working hard and this is what they told me I'd get, so if this meets your expectations you wil be fine. If not job placement is really important to you, you may want to look elsewhere.Tl;dr: Can be good depending on your needs. They can help you get jobs in Barcelona if you are eligible to work there, but if you want a lot of help for a non-EU job search they are limited to providing contacts to companies you've applied to. So far from my cohort the only person placed through Ironhack was hired by Ironhack.Summary:It was a fun experience overall, and I don't regret it. I did learn a lot despite the hiccups. However, I can't help but feel like they could have done much better and the communication was consistently a huge issue. I felt frustrated by the time wasted because of bad or unprepared instructors and bad internet. I felt like they missed a lot of important topics such as code reviewing and interview prep. And job assistance didn't meet my expectations at all. So yeah, YMMV. Living in Barcelona though, that I can recommend with no hesitation.Read Less",ironhack,10828
1,236253,0,,2017,1,Jr UX Architec,Full-time UX/UI Design Bootcamp,2.7,3.0,2.0,3.0,"WHY I DID ITI chose Ironhack Bootcamp because it motivated me the fact of being part of a community rather than just signing up for a course for going to class and then go home. Of course, once you'r there it's up to you to be part of it or just attend... Read More to classes. HOW IT HELPED A bootcamp helps you to put your first step in to the world you are seeking to enter into, in this case the design world, which in Barcelona is very closed. While after university there is a huge gap between where you are and where you want to go, after Ironhack you actually have already contacts in where you want to go. In the bootcamp there will be events, people coming, lectures from interesting companies, but it will be up to you to network with them, nothing will come by itself. For example, after the hiring days 6 companies reached me and two weeks after I have offers for working for two of them. But it’s very up to you to have the initiative and search for the opportunities and also to decide which is a fair job deal. One month after I was hired in a big company with excellent wages and conditions, but still I feel it's rare. WHAT I LIKEDI went almost from zero in design. I had audiovisual background and it helped to improve some skills I  already had. But, I did build mostly everything from scratch. And now I feel like I increased 100% my skills. Immersive atmosphere it's all about design for 10 weeks. You will find yourself reading design articles while having breakfast and going to bed with design documentaries. ""Team feeling"". You spent a lot of time with the same persons every day. You better deal with it, make the most for getting along with them and encourage them to make things together. You will end the bootcamp with a groups of friends extremely motivate with design. WHAT I MISSEDGoing deeper in some parts of the curricula. More connection with lecturer's job during their classes. You are very free to do the tasks as good as you want. I missed more guidance when you feel demotivated in other to get better results for the portfolio. Not just getting task done because there are a deadlines.Read Less",ironhack,10828
2,258521,0,UX/UI Design,2019,0,,Full-time UX/UI Design Bootcamp,2.7,3.0,4.0,1.0,"I joined Ironhack UX/UI full-time design bootcamp after recommendation and many positive reviews I read on the Internet. It is important to notice here than Ironhack has many locations and for sure there is a lot of differences between them - actually... Read More it's hard to find them about this specific course in Berlin, so this is why I decided to write my opinion here.Maybe I will start from positive part here. The working environment it's really amazing, mostly due to the people who participate in the course. It's really great to work with people with different skills and with various background - everyone was very supportive, kind and helpful. When you are stuck with anything, you can always count on your classmates. Also, I think the curriculum is well constructed and contains the most important information - of course, it's super intense and it's not possible to remember everything from the lectures but you will get a forever access to the learning platform - pretty helpful. The cool building, comfortable chairs and the free barista were also big advantages :)Before joining the course, I studied carefully the info and details on their websites. For sure, Ironhack promises a lot and it's not suprising, beacuse the bootcamps are very expensive (and getting even more). I would like to refer here to some of their promises.First of all the, the group was bigger than they promised, and way bigger than in the different locations. I was counting for a small group and pair work experience, instead it was more like back-to-school and 4 people in the group way of working - way too much.First of all, the lead teacher is not a UX/UI designer, but a visual designer, and actually he is not even really interested in the UX part and as he admitted, he has never really worked with it. I expected him to have a broad knowledge about UX, but it was pretty limited to the slides he was presenting. Also, he was very hardly accessible - he was usually leaving early or were always busy with something else. To be honest, he didn't seem really interested in the job.Ironhack presents itself as a team ""tech spec"" - but a lot of times they are just lacking skills. The teacher and TA are definitely not specialist in the softwares that are used during the course - it's very disappointing. During the career week, some invited people to the school seemed pretty random - maybe just to fill our time with something? I'm not sure if inviting a person who is an ex-TA who doesn't have a job yet as an ""interview specialist"" or doing negotiation workshops with a person who has no experience with it is the best idea... I think Ironhack should really take closer look at the people who they are hiring - both the teacher and TAs seem often unmotivated and not really engaged in their work. I understand they are not professional designers but sometimes their advice and knowledge is lower that the participants of the course. And also, complaining about students in the common areas, where everyone can hear it, is VERY unprofessional.Overall, I learned a lot during the course, but it was a lot of my individual work I put in it and also from people I ask for advice from - unfortunately I can't say the staff was really helpful. I think that Ironhack is not a bad school, but for this price, people's expectations were way higher, what almost everyone admitted at the end. At the moment, I'd advice to think twice before joining campus in Berlin and maybe to consider different locations.Read Less",ironhack,10828
3,259285,1,UX/UI Design,2019,0,,UX/UI Design Bootcamp,2.3,3.0,3.0,1.0,"When it came to job placement there is barely any. Be prepared to be on your own and in a see of competing designers. The job fair was a farce 4 companies with maybe 3 or 4 positions for a class of over 15 students. Tried to get help from them afterwards... Read More and was pretty much ignored or answered 2 weeks late by Milica.The curriculum seemed a bit outdated they changed it after i graduate so didn't have a chance to benefit from the changes. It was fun like a frat house lots of free beer, if that's what you're looking for. Sadly I wish the teachers and program manager would have taken their jobs more seriously.Read Less",ironhack,10828
4,264142,1,UX/UI Design,2019,0,,UX/UI Design Bootcamp,1.7,2.0,2.0,1.0,"I attended the bootcamp in Barcelona. Even going into the course, I knew that it would not be worth the 7000eur I was paying. The students were ready to give a lot toward the course, unfortunately, the teacher and TAs were not. I was dismayed to find... Read More out that the course teacher used to previously teach coding at a different academy. Because of this, we got zero intro on even the basics of UI, other than a vague introduction to color theory. There was only a passing mention of material design and design systems. Now I work as a UI UX designer, after 6 months of trying to find a job. I work solely on UI, which is what any entry level designer will be expected to do. During the course, we also focused on learning to code, which- sure was useful but did not need to be a priority in the short 2 month course. A lot of the coding teaching was done by the TA, who was quite a nice person but definitely not suited for teaching. Which bring me to how Ironhack also pumps up its employment percentage. It employs its students from previous courses as its TAs. This is unfair, I would hope that TAs would atleast have a 1year experience as a UI UX designer. Overall, its a fun environment and I made some great friends. In terms of learning, I did most of it myself after I graduated. Don't take this overpriced course if you have an alternative/cant afford it. I have been learning a lot on SuperHi,which I think is a pretty good alternativeRead Less",ironhack,10828
5,267895,1,,2020,0,,,1.3,1.0,2.0,1.0,"At the beginning everyone from the staff seemed super friendly and open to help but the further we got into the bootcamp the more I felt I had to wait for hours for someone to help and sometimes didn’t even get any help at all while I saw other students... Read More getting all the help. I feel that the teaching staff were bias asks only focused on people they are interested in the students they think they can get a benefit from in the future. This can also be applied to program manager who treated the non-so-interesting students like trash. They really need to get their priorities straight, they only seem to care about you until you pay or until you can’t request a refund... then you are completely neglected if they don’t see they can benefit from you. Another very disappointing fact is what they call the career week. They promised high quality preparation for the job interviews so you can nail them and get a job when you finish the bootcamp. Those lectures are nothing you can’t find or read online. They don’t have a good structure or unique method that they came up with, they even send you post I’ve already found before they sent them. Also you have the interviews with companies, what a mess and disappointment. They get companies they are not even looking for someone or they are looking to hire non-paid or low-paid interns and you have only 10 mins to talk to them inside of a caotic environment and people cutting you off. On top of that they even allow the teacher assistant to take part in the interviews which is unprofessional and really not fair for us... Overall I will never recommend ironhack and would go to another school. They all have similar curriculums and I’m sure they will be more professional than ironhackRead Less",ironhack,10828
6,268236,0,,2020,0,Learning and Development Specialist,UX/UI Design Part-Time,1.7,1.0,3.0,1.0,"I have been a part time student at Ironhack Berlin, UX/UI design course from January 2020- until June 2020. I want to make a career change from cognitive psychology to UX Design. I chose the bootcamp for the course, but mostly for their promises in connecting... Read More us with companies, having fast track interviews. I hoped that this will make my transition smoother.During my class, Corona Pandemic hit which forced us to move all the classes online. Cons:- we had our teacher changed, as it was not meeting with the expectations of the course during the course, which made us lose classes and the part of UX Research for example for damaged as it was not the speciality of the teacher itself- we are done since one month and a half and we haven't had any fast track interviews, any connection with any companies, anything in terms of job search. We have paid 6000 euros only for an online course.- our career coach quite just before we started our Career week leaving us with no guidance or follow up.Conclusion: We haven't had any help with our job search and the communication with the management is very blurry and not at all transparent.Advantages:- Muri, the teacher that came afterwards was amazing and we learned a lot from it- The projects are very well structured.I am writing this review as I believe it is fair to know for what you are paying. When I entered the course I was not aware of this flaw and I feel that the Bootcamp itself is not worth the money they are asking.Read Less",ironhack,10828
7,268800,1,,2019,0,Data  analyst,Data Analytics Bootcamp,2.3,2.0,1.0,4.0,"I took the Data analyst course. The other students were nice overall, i had nice people experience. I think the teachers are also ok.The material is super outdated and very low level. They use materials from 2016-2017, some of them are not actual and... Read More many of the source materials are not available. Teachers upload missing data to google drive as they realize its missing, but we still use outdated stuff.Learning portals(Udemy, Coursera etc) vs IronhackLearning material: Learning portals: 10/10, very up to date, and huge selection.Ironhack: 3/10, outdated and the same for years without change. They don't even take effort to find out tasks, you have to do them.Price:Learning portals: 10/10 , from free, super cheapIronhack: 2/10, 7000$, can be much, much more at other bootcamp schoolsTeacher knowledge:Learning portals: 10/10, the greatest minds are sharing their knowledge.Ironhack 3/10: They definately are not stupid. And they do their best I'm assuming. But its not compareable.Hours included:Learning portals: as much as you wantIronhack: 400ish(half of them are 'standups' and 'games' which are not fun super useless and really do take a lot of time away).Actual hours put in:Learning portals: 2/10, usually people slack off because its free/cheap and there is no time limit.Ironhack: 7/10, as above, you pay and you want to get something for your money so you slack less.Paper for people with no PHD:Learning portals: 3/10, if you can actually do what is in your 'certifications', the sky is the limit. But just the certificate itself doesn't worth shit.Ironhack: 2/10, same as above, but since you can only learn less, you can't show up more.Career support:Learning portals: usually close to 0Ironhack: I did not attend this, i was disappointed enough in the 10 weeks. I don't expect anything big, the only 'alumni' they could get to talk to us as previous student was a super lowlvl job(the guy was cool though so no offense there).This could be said about all courses and bootcamps on the world, but from online courses you can get refunds super easily if you dont like something, so its easier to select out the trash. With bootcamps you pay thousands of dollars with no hope of a refund if its shit.TLDR: Overall experience:I'm not sure what I expected from this, I was new to the field and wanted to jump in somehow, just learning a few hours every now and then was not really effective. So in a way it was good, because I spent the time on learning, not on playing games etc. Also i did not have to work during the 10 week with full salary because of covid. So i only regret it halfsy.Don't do any bootcamps if you can sit down by yourself to study/read stuff. The only reason to pick a bootcamp is because you can't get yourself to sit down and learn. If you can, online learning is the way.Oh i almost forgot: Teachers, TAs and job supporters were many times late and cancelling appointments(during full lockdown, they were working from home but cancelled the hours!!)Read Less",ironhack,10828
8,269512,1,,2019,0,Full stack developer,,2.7,3.0,4.0,1.0,"I attended the Berlin bootcamp and the biggest pro is that the teachers and assistants are highly qualified and have real experience in the industry. I however have countless bad experiences. Firstly I found that they were not transparent E.g every student... Read More pays a difference amount for tuition and since I paid full price I felt a a bit cheated when I found out other people in my class paid substantially less. They also promised career service after the bootcamp but never really supported people in my cohort, as a result I really struggled to find a job afterwards. At present only 3 people in my class have found a developer job in my class. They also promised that alumni would have access to the teaching material but instead we only have access to outdated web dev teaching material. The worse part of this entire experience is that they never addressed our concerns. I would not recommend studying at this bootcamp!Read Less",ironhack,10828
9,270846,1,,2020,0,unemployed,Web Development Bootcamp,2.7,3.0,4.0,1.0,"I participated to the remote Web Dev bootcamp. The teaching team is really nice patient, approachable and friendly, and they won't hesitate to stay longer in the zoom to help you with projects/labs, which is really appreciated.Regarding their technical... Read More knowledge, sometimes I felt they lacked it when we asked questions in depth. Our cohort was about 15+ students and we only had one teacher and one TA, who graduated from Ironhack just a few months before, so his knowledge was quite limited, especially for the projects. This was inconvenient because several times we had to ""wait in line"" to get someone to help us debug our code (after we spent at least 30 min, if not more, without success). Also, it is super intense and I truly believe that 9 weeks is too short to really learn all that's offered in the curriculum and fully understand. Some topics are briefly discussed but they require a lot more of self-study after the bootcamp as in between sessions we're too busy with the evening labs (which take hours to solve, trust me).Keep in mind that in the full-time bootcamp, there's no day in between each class where you can see deeper some concepts. Every day is super challenging and we're moving onto new subjects quickly, so it's super important to keep your head out of the water and ask questions until you fully understand, otherwise you will miss a lot of knowledge.The technologies studied are overall good for the current job market except for Mongo DB (non-relational DB) which I wouldn't recommend because it's a and nowadays relational DB (like mySQL) are more in demand on job offers.Regarding the career week, to me, it sounded like a joke. From their marketing campaigns, it looks like they'll arrange for you interviews with companies they have an agreement with (based on their ""algorithm""), but in fact in that week, you basically learn how to make a CV and a cover letter, and they keep repeating to you that you should use your network and that they won't help you if you don't do your part of the job and complete all the tedious tasks on the student portal.One great thing was the ambiance with the other students and those from other cohorts. Especially during a very intense bootcamp where your brain is overwhelmed, it was nice, even remotely, to get to (virtually) meet up, play games, etc.Overall I don't regret the experience of a coding bootcamp because I learned a lot and that gave me a great push for a career in development, but don't fool yourself, you need to work a lot more and for many more months before you get a job in development unless you have coding experience prior to the bootcamp.A coding bootcamp is really not for everyone. If you're really determined to get a job right after, you better start working months before enrolling.Also, considering the price, I really think it's a rip-off (unless you get a substantial scholarship). The price for the on-site bootcamp and the remote one are almost the same which is not justifiable as by learning remotely, you don't use any location from Ironhack, you use your own desk, electricity, internet, etc, and even for the events, you're bringing your own beer! Honestly, there are plenty of other schools that offer similar curriculums for a much lower price (especially for the remote course). Ironhack doesn't offer anything really exceptional or differenc from other school on the market nowadays.Read Less",ironhack,10828
